username,created_at,favorite_count,retweet_count,reply_count,quote_count,lang,full_text,label,validasi_label,cleaning,case_folding,normalisasi,tokenize,stopword_removal,stemming_data
,Wed Nov 26 11:10:20 +0000 2025,0,0,0,0,in,@tanyakanrl aku ganti ganti sesuai mood tp skrg lgi pake 1st cleanser : glad2glow fw : hadalabo whitening exfo : npure toner : npure serum / ampul : skin 1000 moist : glow apa gitu lupa ss : skin 1000,0,0,aku ganti ganti sesuai mood tp skrg lgi pake cleanser gladglow fw hadalabo whitening exfo npure toner npure serum ampul skin moist glow apa gitu lupa ss skin,aku ganti ganti sesuai mood tp skrg lgi pake cleanser gladglow fw hadalabo whitening exfo npure toner npure serum ampul skin moist glow apa gitu lupa ss skin,aku ganti ganti sesuai mood tapi sekarang lagi pakai cleanser gladglow fw hadalabo whitening exfo npure toner npure serum ampul skin moist glow apa begitu lupa ss skin,"['aku', 'ganti', 'ganti', 'sesuai', 'mood', 'tapi', 'sekarang', 'lagi', 'pakai', 'cleanser', 'gladglow', 'fw', 'hadalabo', 'whitening', 'exfo', 'npure', 'toner', 'npure', 'serum', 'ampul', 'skin', 'moist', 'glow', 'apa', 'begitu', 'lupa', 'ss', 'skin']","['ganti', 'ganti', 'sesuai', 'mood', 'pakai', 'cleanser', 'gladglow', 'fw', 'hadalabo', 'whitening', 'exfo', 'npure', 'toner', 'npure', 'serum', 'ampul', 'skin', 'moist', 'glow', 'lupa', 'ss', 'skin']",ganti ganti sesuai mood pakai cleanser gladglow fw hadalabo whitening exfo npure toner npure serum ampul skin moist glow lupa ss skin
,Tue Nov 25 06:37:27 +0000 2025,0,0,0,0,in,@tanyakanrl 1st cleanser:pake viva yg ijo+glad2glow yg pink. gw:npure probiotik+some by mi yg merah. exco:dari npure. toner:some by mi (vit c) retinol (avoskin) serum:cuman pake retinol some by mi jg moist:skin game skin 1004 ss:amaterasun yg physical+wardah yg ijo,1,1,cleanser pake viva yg ijo gladglow yg pink gw npure probiotik some by mi yg merah exco dari npure toner some by mi vit c retinol avoskin serum cuman pake retinol some by mi jg moist skin game skin ss amaterasun yg physical wardah yg ijo,cleanser pake viva yg ijo gladglow yg pink gw npure probiotik some by mi yg merah exco dari npure toner some by mi vit c retinol avoskin serum cuman pake retinol some by mi jg moist skin game skin ss amaterasun yg physical wardah yg ijo,cleanser pakai viva yang ijo gladglow yang pink gue npure probiotik some by mi yang merah exco dari npure toner some by mi vit sih retinol avoskin serum cuman pakai retinol some by mi juga moist skin game skin ss amaterasun yang physical wardah yang ijo,"['cleanser', 'pakai', 'viva', 'yang', 'ijo', 'gladglow', 'yang', 'pink', 'gue', 'npure', 'probiotik', 'some', 'by', 'mi', 'yang', 'merah', 'exco', 'dari', 'npure', 'toner', 'some', 'by', 'mi', 'vit', 'sih', 'retinol', 'avoskin', 'serum', 'cuman', 'pakai', 'retinol', 'some', 'by', 'mi', 'juga', 'moist', 'skin', 'game', 'skin', 'ss', 'amaterasun', 'yang', 'physical', 'wardah', 'yang', 'ijo']","['cleanser', 'pakai', 'viva', 'ijo', 'gladglow', 'pink', 'gue', 'npure', 'probiotik', 'some', 'by', 'mi', 'merah', 'exco', 'npure', 'toner', 'some', 'by', 'mi', 'vit', 'sih', 'retinol', 'avoskin', 'serum', 'cuman', 'pakai', 'retinol', 'some', 'by', 'mi', 'moist', 'skin', 'game', 'skin', 'ss', 'amaterasun', 'physical', 'wardah', 'ijo']",cleanser pakai viva ijo gladglow pink gue npure probiotik some by mi merah exco npure toner some by mi vit sih retinol avoskin serum cuman pakai retinol some by mi moist skin game skin ss amaterasun physical wardah ijo
,Tue Nov 25 00:21:34 +0000 2025,0,0,0,0,in,@tanyakanrl 1st cleanser : wardah yg biru fw : glad2glow pink putih exfo : - toner : erha skinsitive serum / ampul : erha skinsitive moist : erha skinsitive ss : erha skinsitive wkwkwkwkkw,1,1,cleanser wardah yg biru fw gladglow pink putih exfo toner erha skinsitive serum ampul erha skinsitive moist erha skinsitive ss erha skinsitive wkwkwkwkkw,cleanser wardah yg biru fw gladglow pink putih exfo toner erha skinsitive serum ampul erha skinsitive moist erha skinsitive ss erha skinsitive wkwkwkwkkw,cleanser wardah yang biru fw gladglow pink putih exfo toner erha skinsitive serum ampul erha skinsitive moist erha skinsitive ss erha skinsitive wkwkwkwkkw,"['cleanser', 'wardah', 'yang', 'biru', 'fw', 'gladglow', 'pink', 'putih', 'exfo', 'toner', 'erha', 'skinsitive', 'serum', 'ampul', 'erha', 'skinsitive', 'moist', 'erha', 'skinsitive', 'ss', 'erha', 'skinsitive', 'wkwkwkwkkw']","['cleanser', 'wardah', 'biru', 'fw', 'gladglow', 'pink', 'putih', 'exfo', 'toner', 'erha', 'skinsitive', 'serum', 'ampul', 'erha', 'skinsitive', 'moist', 'erha', 'skinsitive', 'ss', 'erha', 'skinsitive', 'wkwkwkwkkw']",cleanser wardah biru fw gladglow pink putih exfo toner erha skinsitive serum ampul erha skinsitive moist erha skinsitive ss erha skinsitive wkwkwkwkkw
,Mon Nov 24 21:20:50 +0000 2025,0,0,0,0,in,@tanyakanrl 1st cleanser : cleansing oil watsons warna biru fw : hadalabo exfo : glad2glow (dikasih orang wkwk) toner : - serum / ampul : skintific 377 moist : skintific msh ss : sunplay,1,1,cleanser cleansing oil watsons warna biru fw hadalabo exfo gladglow dikasih orang wkwk toner serum ampul skintific moist skintific msh ss sunplay,cleanser cleansing oil watsons warna biru fw hadalabo exfo gladglow dikasih orang wkwk toner serum ampul skintific moist skintific msh ss sunplay,cleanser cleansing oil watsons warna biru fw hadalabo exfo gladglow dikasih orang wkwk toner serum ampul skintific moist skintific masih ss sunplay,"['cleanser', 'cleansing', 'oil', 'watsons', 'warna', 'biru', 'fw', 'hadalabo', 'exfo', 'gladglow', 'dikasih', 'orang', 'wkwk', 'toner', 'serum', 'ampul', 'skintific', 'moist', 'skintific', 'masih', 'ss', 'sunplay']","['cleanser', 'cleansing', 'oil', 'watsons', 'warna', 'biru', 'fw', 'hadalabo', 'exfo', 'gladglow', 'dikasih', 'orang', 'wkwk', 'toner', 'serum', 'ampul', 'skintific', 'moist', 'skintific', 'ss', 'sunplay']",cleanser cleansing oil watsons warna biru fw hadalabo exfo gladglow kasih orang wkwk toner serum ampul skintific moist skintific ss sunplay
,Mon Nov 24 17:13:45 +0000 2025,0,0,1,0,in,@tanyakanrl 1st cleanser : micellar water forebie fw : glad2glow yg biru exfo : peeling serum elformula toner : autumn yg biru serum / ampul : hanasui yg biru vit c 2% moist : pipiqiu yg biru ss : wardah salicylic acid,1,1,cleanser micellar water forebie fw gladglow yg biru exfo peeling serum elformula toner autumn yg biru serum ampul hanasui yg biru vit c moist pipiqiu yg biru ss wardah salicylic acid,cleanser micellar water forebie fw gladglow yg biru exfo peeling serum elformula toner autumn yg biru serum ampul hanasui yg biru vit c moist pipiqiu yg biru ss wardah salicylic acid,cleanser micellar water forebie fw gladglow yang biru exfo peeling serum elformula toner autumn yang biru serum ampul hanasui yang biru vit sih moist pipiqiu yang biru ss wardah salicylic acid,"['cleanser', 'micellar', 'water', 'forebie', 'fw', 'gladglow', 'yang', 'biru', 'exfo', 'peeling', 'serum', 'elformula', 'toner', 'autumn', 'yang', 'biru', 'serum', 'ampul', 'hanasui', 'yang', 'biru', 'vit', 'sih', 'moist', 'pipiqiu', 'yang', 'biru', 'ss', 'wardah', 'salicylic', 'acid']","['cleanser', 'micellar', 'water', 'forebie', 'fw', 'gladglow', 'biru', 'exfo', 'peeling', 'serum', 'elformula', 'toner', 'autumn', 'biru', 'serum', 'ampul', 'hanasui', 'biru', 'vit', 'sih', 'moist', 'pipiqiu', 'biru', 'ss', 'wardah', 'salicylic', 'acid']",cleanser micellar water forebie fw gladglow biru exfo peeling serum elformula toner autumn biru serum ampul hanasui biru vit sih moist pipiqiu biru ss wardah salicylic acid
,Thu Nov 20 04:45:33 +0000 2025,0,0,1,0,in,hiii mau tanya kalau aku beli skincare ini over cinamide gak ya? eksflo (peeling gel): glad2glow facial wash: whitelab facial wash brightening serum (pemula): whitelab c-dose+ brightening sunscreen: glow&amp;be keperluan: hilangin chicken skin+ komedo &amp; mencerahkan muka kusam,1,1,hiii mau tanya kalau aku beli skincare ini over cinamide gak ya eksflo peeling gel gladglow facial wash whitelab facial wash brightening serum pemula whitelab c dose brightening sunscreen glow amp be keperluan hilangin chicken skin komedo amp mencerahkan muka kusam,hiii mau tanya kalau aku beli skincare ini over cinamide gak ya eksflo peeling gel gladglow facial wash whitelab facial wash brightening serum pemula whitelab c dose brightening sunscreen glow amp be keperluan hilangin chicken skin komedo amp mencerahkan muka kusam,hai mau tanya kalau aku beli skincare ini over cinamide tidak ya eksflo peeling gel gladglow facial wash whitelab facial wash brightening serum pemula whitelab sih dose brightening sunscreen glow amp be keperluan menghilangkan chicken skin komedo amp mencerahkan muka kusam,"['hai', 'mau', 'tanya', 'kalau', 'aku', 'beli', 'skincare', 'ini', 'over', 'cinamide', 'tidak', 'ya', 'eksflo', 'peeling', 'gel', 'gladglow', 'facial', 'wash', 'whitelab', 'facial', 'wash', 'brightening', 'serum', 'pemula', 'whitelab', 'sih', 'dose', 'brightening', 'sunscreen', 'glow', 'amp', 'be', 'keperluan', 'menghilangkan', 'chicken', 'skin', 'komedo', 'amp', 'mencerahkan', 'muka', 'kusam']","['hai', 'beli', 'skincare', 'over', 'cinamide', 'tidak', 'ya', 'eksflo', 'peeling', 'gel', 'gladglow', 'facial', 'wash', 'whitelab', 'facial', 'wash', 'brightening', 'serum', 'pemula', 'whitelab', 'sih', 'dose', 'brightening', 'sunscreen', 'glow', 'amp', 'be', 'keperluan', 'menghilangkan', 'chicken', 'skin', 'komedo', 'amp', 'mencerahkan', 'muka', 'kusam']",hai beli skincare over cinamide tidak ya eksflo peeling gel gladglow facial wash whitelab facial wash brightening serum mula whitelab sih dose brightening sunscreen glow amp be perlu hilang chicken skin komedo amp cerah muka kusam
,Sat Nov 29 16:49:56 +0000 2025,0,0,0,0,in,dan klo pake si cetaphil mukaku tuh mesti ada jerawat meradang merah dan mendemm,0,0,dan klo pake si cetaphil mukaku tuh mesti ada jerawat meradang merah dan mendemm,dan klo pake si cetaphil mukaku tuh mesti ada jerawat meradang merah dan mendemm,dan kalau pakai sih cetaphil mukaku tuh mesti ada jerawat meradang merah dan mendemm,"['dan', 'kalau', 'pakai', 'sih', 'cetaphil', 'mukaku', 'tuh', 'mesti', 'ada', 'jerawat', 'meradang', 'merah', 'dan', 'mendemm']","['pakai', 'sih', 'cetaphil', 'mukaku', 'tuh', 'mesti', 'jerawat', 'meradang', 'merah', 'mendemm']",pakai sih cetaphil muka tuh mesti jerawat radang merah mendemm
,Sat Nov 29 06:44:26 +0000 2025,0,0,1,0,in,@praboomersubian pake cetaphil apa ngga makin kering?,0,0,pake cetaphil apa ngga makin kering,pake cetaphil apa ngga makin kering,pakai cetaphil apa tidak makin kering,"['pakai', 'cetaphil', 'apa', 'tidak', 'makin', 'kering']","['pakai', 'cetaphil', 'tidak', 'kering']",pakai cetaphil tidak kering
,Fri Nov 28 09:23:50 +0000 2025,0,0,0,0,in,@womanfeeds_id aku pernah pake cetaphil turns out tidak works di akuu dengan skintype ku sensitive acne prone jadi aku beralih pakai cosrx low ph good morning yang menurutku hampir sama sih feelsnya. sepertii tidak bikin wajah ketarik dan super gentle juga,0,0,aku pernah pake cetaphil turns out tidak works di akuu dengan skintype ku sensitive acne prone jadi aku beralih pakai cosrx low ph good morning yang menurutku hampir sama sih feelsnya sepertii tidak bikin wajah ketarik dan super gentle juga,aku pernah pake cetaphil turns out tidak works di akuu dengan skintype ku sensitive acne prone jadi aku beralih pakai cosrx low ph good morning yang menurutku hampir sama sih feelsnya sepertii tidak bikin wajah ketarik dan super gentle juga,aku pernah pakai cetaphil turns out tidak works di aku dengan skintype ku sensitive acne prone jadi aku beralih pakai cosrx low ph good morning yang menurutku hampir sama sih feelsnya sepertii tidak bikin wajah tertarik dan super gentle juga,"['aku', 'pernah', 'pakai', 'cetaphil', 'turns', 'out', 'tidak', 'works', 'di', 'aku', 'dengan', 'skintype', 'ku', 'sensitive', 'acne', 'prone', 'jadi', 'aku', 'beralih', 'pakai', 'cosrx', 'low', 'ph', 'good', 'morning', 'yang', 'menurutku', 'hampir', 'sama', 'sih', 'feelsnya', 'sepertii', 'tidak', 'bikin', 'wajah', 'tertarik', 'dan', 'super', 'gentle', 'juga']","['pakai', 'cetaphil', 'turns', 'out', 'tidak', 'works', 'skintype', 'ku', 'sensitive', 'acne', 'prone', 'beralih', 'pakai', 'cosrx', 'low', 'ph', 'good', 'morning', 'menurutku', 'sih', 'feelsnya', 'sepertii', 'tidak', 'bikin', 'wajah', 'tertarik', 'super', 'gentle']",pakai cetaphil turns out tidak works skintype ku sensitive acne prone alih pakai cosrx low ph good morning turut sih feelsnya seperti tidak bikin wajah tarik super gentle
,Fri Nov 28 08:44:04 +0000 2025,5,0,11,0,in,{mu} haloo minta honest review nya dongg kak buat fw gentle skin cleanser cetaphil sama moist illiyoon yang ceramide ato concentrated cream terima kasihh sebelumnyaa ,1,1,mu haloo minta honest review nya dongg kak buat fw gentle skin cleanser cetaphil sama moist illiyoon yang ceramide ato concentrated cream terima kasihh sebelumnyaa,mu haloo minta honest review nya dongg kak buat fw gentle skin cleanser cetaphil sama moist illiyoon yang ceramide ato concentrated cream terima kasihh sebelumnyaa,mu haloo meminta honest review ya dong kak buat fw gentle skin cleanser cetaphil sama moist illiyoon yang ceramide atau concentrated cream terima kasihh sebelumnyaa,"['mu', 'haloo', 'meminta', 'honest', 'review', 'ya', 'dong', 'kak', 'buat', 'fw', 'gentle', 'skin', 'cleanser', 'cetaphil', 'sama', 'moist', 'illiyoon', 'yang', 'ceramide', 'atau', 'concentrated', 'cream', 'terima', 'kasihh', 'sebelumnyaa']","['mu', 'haloo', 'honest', 'review', 'ya', 'kak', 'fw', 'gentle', 'skin', 'cleanser', 'cetaphil', 'moist', 'illiyoon', 'ceramide', 'concentrated', 'cream', 'terima', 'kasihh', 'sebelumnyaa']",mu haloo honest review ya kak fw gentle skin cleanser cetaphil moist illiyoon ceramide concentrated cream terima kasihh sebelumnyaa
